transaction_id,timestamp,card_id,amount,merchant_name,merchant_category,channel,cardholder_country,merchant_country,device_id,ip_address,s1,s2,s3,s4,final_score,is_flagged
tx_000784,2026-04-25 00:27:09,card_042,18.38,Amazon.ca,online_retail,online,US,CA,dev_33892b01,172.58.159.61,0.014077517371041367,0.2124186071605684,0.0,0.0,0.0,False
tx_000081,2026-04-25 00:32:37,card_004,160.55,Schwartz's,restaurant,in_person,CA,CA,,,1.0,0.25027120785633505,0.0,0.0,0.0,False
tx_000389,2026-04-25 01:39:26,card_020,57.12,Chipotle,restaurant,in_person,US,US,,,0.1315970171798617,0.21626022378175647,0.0,0.0,0.0,False
tx_000779,2026-04-25 02:38:38,card_041,15.86,Videotron,utilities,online,CA,CA,dev_614ef198,142.112.31.70,0.03684665950435112,0.23242005672071928,0.0,0.0,0.0,False
tx_000256,2026-04-25 04:26:31,card_013,52.73,Shopify Merchant 2,online_retail,online,CA,CA,dev_e5c2222f,24.114.1.85,0.023657416794766465,0.25027120785633505,0.0,0.0,0.0,False
tx_000041,2026-04-25 05:09:52,card_002,57.27,McDonald's,restaurant,in_person,CA,CA,,,0.4184559080260854,0.2297902420722551,0.0,0.0,0.0,False
tx_000649,2026-04-25 06:16:56,card_035,15.99,Disney+,subscription,online,CA,US,dev_37f4b88c,24.114.240.71,0.04906089716696885,0.24794312724592327,0.0,0.0,0.0,False
tx_000063,2026-04-25 06:51:00,card_003,48.14,Provigo,grocery,in_person,CA,CA,,,0.032011932074316386,0.235185756132708,0.0,0.0,0.0,False
tx_000544,2026-04-25 08:19:31,card_029,9.06,Hydro-Quebec,utilities,online,CA,CA,dev_72eedf3c,24.114.198.77,0.17454091858337975,0.23242005672071928,0.0,0.0,0.0,False
tx_000551,2026-04-25 08:25:39,card_029,58.77,Tim Hortons,restaurant,in_person,CA,CA,,,0.18017817637900005,0.5022175449714168,0.0,0.0,0.0,False
tx_000782,2026-04-25 09:03:20,card_042,9.66,Chipotle,restaurant,in_person,US,US,,,0.10510301804204697,0.2124186071605684,0.0,0.0,0.0,False
tx_000206,2026-04-25 09:09:03,card_011,4.85,Chipotle,restaurant,in_person,CA,CA,,,0.10349477378480372,0.3532095656066076,0.0,0.0,0.0,False
tx_000521,2026-04-25 09:18:09,card_028,51.13,eBay,online_retail,online,CA,US,dev_bea30580,99.225.214.42,0.02962879305194345,0.2297902420722551,0.0,0.0,0.0,False
tx_000690,2026-04-25 11:27:41,card_037,41.39,IGA,grocery,in_person,CA,CA,,,0.030759879359918075,0.22040052185487985,0.0,0.0,0.0,False
tx_000853,2026-04-25 11:57:46,card_045,42.68,eBay,online_retail,online,FR,US,dev_ba413b67,82.66.10.13,0.11395725055953855,0.22728366435487263,0.0,0.0,0.0,False
tx_000396,2026-04-25 12:33:42,card_021,94.87,Tim Hortons,restaurant,in_person,CA,CA,,,0.1619436770921293,0.22728366435487263,0.0,0.0,0.0,False
tx_000442,2026-04-25 12:43:20,card_023,28.79,Whole Foods,grocery,in_person,CA,CA,,,0.2406711131170244,0.21430477277781,0.0,0.0,0.0,False
tx_000897,2026-04-25 13:55:46,card_048,9.57,McDonald's,restaurant,in_person,CA,CA,,,0.19242873147778564,0.2248893633074805,0.0,0.0,0.0,False
tx_000018,2026-04-25 14:13:47,card_000,51.5,Hydro-Quebec,utilities,online,CA,CA,dev_bc0178b6,99.225.129.227,0.052549398838081525,0.2297902420722551,0.0,0.0,0.0,False
tx_000394,2026-04-25 15:06:17,card_021,19.32,Etsy,online_retail,online,CA,US,dev_f61b4d97,24.114.210.28,0.10861901207882095,0.22728366435487263,0.0,0.0,0.0,False
tx_000027,2026-04-25 15:51:42,card_001,69.73,Etsy,online_retail,online,CA,US,dev_8080a2c9,24.114.208.216,0.049853360401467435,0.30338137103243035,0.0,0.0,0.0,False
tx_000702,2026-04-25 17:37:25,card_037,16.88,Tim Hortons,restaurant,in_person,CA,CA,,,0.0981347357595242,0.22040052185487985,0.0,0.0,0.0,False
tx_000873,2026-04-25 17:43:45,card_047,37.03,Hydro-Quebec,utilities,online,CA,CA,dev_dcad83da,24.114.120.126,0.08832617088383986,0.2411861346508291,0.0,0.0,0.0,False
tx_000608,2026-04-25 18:35:18,card_033,92.02,Provigo,grocery,in_person,GB,GB,,,0.09853743706108968,0.235185756132708,0.0,0.0,0.0,False
tx_000226,2026-04-25 19:32:23,card_012,27.35,Whole Foods,grocery,in_person,CA,CA,,,0.13748096453631437,0.22728366435487263,0.0,0.0,0.0,False
tx_000391,2026-04-25 19:35:05,card_021,135.46,Loblaws,grocery,in_person,CA,CA,,,0.30730621254479473,0.22728366435487263,0.0,0.0,0.0,False
tx_000914,2026-04-25 19:49:18,card_049,41.79,Amazon.ca,online_retail,online,CA,CA,dev_2d66c302,142.112.109.212,0.14681398459880332,0.21626022378175647,0.0,0.0,0.0,False
tx_000735,2026-04-25 20:15:06,card_039,8.6,Joe Beef,restaurant,in_person,GB,GB,,,0.10100501083662998,0.23810204099536444,0.0,0.0,0.0,False
tx_000604,2026-04-25 20:44:00,card_032,28.46,Joe Beef,restaurant,in_person,CA,CA,,,0.19072166813997524,0.31018848787534853,0.0,0.0,0.0,False
tx_000456,2026-04-25 20:54:26,card_024,54.46,IGA,grocery,in_person,CA,CA,,,0.1207669190444721,0.235185756132708,0.0,0.0,0.0,False
tx_000783,2026-04-26 00:12:55,card_042,29.24,Starbucks,restaurant,in_person,US,US,,,0.16250648693367206,0.2124186071605684,0.0,0.0,0.0,False
tx_000533,2026-04-26 01:13:16,card_028,102.56,IGA,grocery,in_person,CA,CA,,,0.18899514190665798,0.2297902420722551,0.0,0.0,0.0,False
tx_000250,2026-04-26 01:27:49,card_013,18.19,Hydro-Quebec,utilities,online,CA,CA,dev_e5c2222f,142.112.127.88,0.17159399923659188,0.25027120785633505,0.0,0.0,0.0,False
tx_000231,2026-04-26 01:41:26,card_012,8.84,Amazon.com,online_retail,online,CA,US,dev_08e633ee,142.112.161.191,0.1945180770249615,0.22728366435487263,0.0,0.0,0.0,False
